Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,New Zealand,NZL,22.5,21.7,20.9,20,19.3,18.7,18.3,17.9,17.6,17.2,16.9,16.5,16.2,15.8,15.4,14.9,14.5,14,13.5,13.1,12.8,12.4,12.1,11.9,11.6,11.3,11,10.6,10.2,9.7,9.2,8.7,8.2,7.8,7.5,7.2,6.9,6.7,6.5,6.3,6.1,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.3,5.2,5.2,5.1,5,4.8,4.7,4.6,4.4,4.3,4.2,4.1,4,3.9,3.9,..
"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,New Zealand,NZL,25.4,24.5,23.6,22.7,21.9,21.3,20.8,20.3,19.9,19.5,19.1,18.7,18.3,17.9,17.5,17,16.4,15.9,15.4,14.9,14.4,14,13.6,13.3,13,12.6,12.3,11.8,11.4,10.8,10.2,9.7,9.1,8.7,8.3,7.9,7.6,7.4,7.1,6.9,6.7,6.6,6.4,6.3,6.1,6,5.9,5.9,5.8,5.7,5.7,5.6,5.4,5.3,5.1,5,4.8,4.7,4.6,4.5,4.4,4.3,4.2,..
"Number of infant deaths, female",SH.DTH.IMRT.FE,New Zealand,NZL,592,585,566,539,508,475,455,452,453,451,442,439,431,405,381,357,336,319,299,286,277,267,259,252,250,249,246,244,244,239,231,220,208,198,187,178,171,164,157,152,150,145,138,135,137,137,137,143,147,145,142,139,134,127,120,118,117,114,110,110,113,111,109,..
"Number of infant deaths, male",SH.DTH.IMRT.MA,New Zealand,NZL,808,802,782,748,708,664,636,627,628,624,610,606,596,566,532,500,470,447,416,395,380,363,351,342,339,335,330,328,327,320,310,295,277,262,245,232,223,216,205,199,195,188,178,175,177,177,177,184,190,185,182,177,169,162,151,149,146,143,137,137,141,139,137,..
Number of infant deaths,SH.DTH.IMRT,New Zealand,NZL,1400,1387,1348,1287,1216,1139,1091,1079,1081,1075,1052,1045,1027,971,913,857,806,766,715,681,657,630,610,594,589,584,576,572,571,559,541,515,485,460,432,410,394,380,362,351,345,333,316,310,314,314,314,327,337,330,324,316,303,289,271,267,263,257,247,247,254,250,246,..
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,New Zealand,NZL,19.6,18.8,18,17.2,16.6,16,15.7,15.4,15.1,14.8,14.6,14.3,13.9,13.5,13.1,12.8,12.4,12,11.6,11.3,11,10.8,10.6,10.4,10.1,9.9,9.6,9.3,8.9,8.5,8,7.6,7.3,6.9,6.7,6.4,6.2,5.9,5.8,5.6,5.4,5.3,5.2,5.1,5,4.9,4.9,4.8,4.8,4.7,4.7,4.6,4.5,4.4,4.3,4.2,4.1,3.9,3.8,3.7,3.7,3.6,3.5,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,